sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
799,48.9815293443854,-122.209284526144,United States,Washington,Whatcom,-8,7.26246870117187,17.9388156204085,1.44,2.4700713157653813
1179,48.8873294569982,-122.163915597634,United States,Washington,Whatcom,-8,3.74172291870117,8.99282364685103,4.78014285349873,2.4033911228179945
1180,48.9139296057712,-122.003921201691,United States,Washington,Whatcom,-8,2.89907992858887,7.5580102176142,11.1866818100654,2.607037544250485
1559,48.7931333051531,-122.118699479054,United States,Washington,Whatcom,-8,0.0972810018539428,0.229688615461299,15.5823376490863,2.361083984375
1560,48.8196840209546,-121.95895324258,United States,Washington,Whatcom,-8,0.395819985580444,1.05741703560117,21.3807142674936,2.671459436416626
1566,48.975670231622,-120.997321621434,United States,Washington,Whatcom,-8,0.0162,0.0446006203651428,33.8029090630812,2.7531247138977037
1567,49.0011126922472,-120.836530589386,United States,Washington,Okanogan,-8,0.0268919994592666,0.0741996381068704,57.4175389310577,2.7591714859008842
1949,48.9568452314513,-120.471953821743,United States,Washington,Okanogan,-8,0.0243,0.0682485674142837,173.653331060667,2.8085830211639387
2319,48.6047510768233,-122.028722675387,United States,Washington,Skagit,-8,0.216900006866455,0.528805001381581,10.2147727214753,2.4380128383636497
2320,48.6312037023956,-121.869470686975,United States,Washington,Skagit,-8,1.29203997802734,3.39063890901301,11.0955844122716,2.6242523193359446
2321,48.6574991635077,-121.710068812212,United States,Washington,Skagit,-8,3.64219214172363,10.239331382518,1.72279220613579,2.8113100528717143
2333,48.9607002422924,-119.785811343085,United States,Washington,Okanogan,-8,0.897624014282227,2.51474147391516,24.3416688117887,2.801553249359131
2334,48.9849312515419,-119.624525513957,United States,Washington,Okanogan,-8,4.47203649902344,12.0323768080895,21.0094740162011,2.6905810832977357
2699,48.5105644389602,-121.983960504021,United States,Washington,Skagit,-8,6.15491136474609,14.8041685086391,3.00462986797652,2.4052610397338876
2700,48.5369684035163,-121.824954609048,United States,Washington,Skagit,-8,13.2078963867188,34.5967767138611,1.37823376490863,2.619400978088372
2701,48.5632154223756,-121.665799561392,United States,Washington,Skagit,-8,2.62196119995117,7.35239527737105,4.27102597104442,2.8041586875915545
2702,48.5893052597031,-121.506496049543,United States,Washington,Skagit,-8,0.0162,0.0459378307342529,9.74028570699746,2.8356685638427717
